stat,range
0,644.2049363362563
1,688.570201029327
2,717.5068151089339
3,739.4959754849567
4,755.1623642890539
5,768.606310151124
6,780.4402218844111
7,791.0471836724429
8,800.6841751134349
9,809.5326795462704
10,817.7260289031693
11,825.3652986159453
12,832.5290901713603
13,839.2798352138095
14,845.6680148995043
15,851.7350750787638
16,857.5154956277079
17,863.0382939983572
18,868.3281400907478
19,873.4061978154231
20,878.2907704803195
21,882.9978027725657
22,887.5412761844484
23,891.9335240916749
24,896.1854854348129
25,900.3069109141943
26,904.3065320490967
27,908.1922009001809
28,911.971006399247
29,915.6493718647538
30,919.2331372643122
31,922.7276290193518
32,926.1377195644762
33,929.4678784266249
34,932.7222162426034
35,935.9045228629013
36,939.0183004767215
37,942.0667925243131
38,945.0530090279512
39,947.9797488646851
40,950.8496194165161
41,953.6650539625906
42,956.4283271199185
43,959.1415685914187
44,961.806775440727
45,964.4258230805502
46,967.0004751341611
47,969.5323923068828
48,972.0231403853132
49,974.4741974659385
50,976.8869605011562
51,979.2627512391678
52,981.6028216243317
53,983.9083587161555
54,986.1804891778704
55,988.4202833793246
56,990.6287591535709
57,992.8068852418877
58,994.955584457958
59,997.0757365984306
60,999.1681811240451
61,1001.2337196328402
62,1003.2731181446375
63,1005.2871092139393
64,1007.2763938865925
65,1009.2416435139726
66,1011.1835014370491
67,1013.1025845514545
68,1014.9994847635735
69,1016.8747703467018
70,1018.7289872054495
71,1020.5626600557929
72,1022.3762935274854
73,1024.1703731949244
74,1025.9453665420087
75,1027.701723866037
76,1029.4398791252386
77,1031.1602507341381
78,1032.8632423105794
79,1034.549243377928
80,1036.2186300256553
81,1037.8717655312535
82,1039.5090009461887
83,1041.1306756483705
84,1042.7371178634303
85,1044.328645156911
86,1045.9055648993053
87,1047.4681747057411
88,1049.016762851954
89,1050.5516086680918
90,1052.0729829117486
91,1053.58114812155
92,1055.076358952496
93,1056.5588624941895
94,1058.0288985729974
95,1059.4867000391096
96,1060.9324930394066
97,1062.3664972769682
98,1063.7889262580109
99,1065.1999875269807
100,1066.599882890483
101,1067.9888086306823
102,1069.3669557087665
103,1070.7345099590275
104,1072.0916522740808
105,1073.4385587817017
106,1074.7754010137398
107,1076.1023460675317
108,1077.4195567602137
109,1078.7271917763076
110,1080.0254058089324
111,1081.314349694969
112,1082.5941705444905
113,1083.8650118647504
114,1085.1270136789992
115,1086.380312640393
116,1087.625042141232
117,1088.8613324177625
118,1090.0893106507574
119,1091.3091010620763
120,1092.520825007402
121,1093.7246010653323
122,1094.9205451230005
123,1096.108770458385
124,1097.2893878194623
125,1098.4625055003503
126,1099.6282294145763
127,1100.7866631656018
128,1101.9379081147274
129,1103.0820634464922
130,1104.2192262316833
131,1105.3494914880544
132,1106.4729522388582
133,1107.589699569285
134,1108.6998226808964
135,1109.8034089441426
136,1110.9005439490404
137,1111.9913115540933
138,1113.0757939335228
139,1114.1540716228849
140,1115.2262235631345
141,1116.2923271432041
142,1117.3524582411533
143,1118.406691263952
144,1119.455099185946
